true_class,true_class_name,predicted_class,predicted_class_name,classification_confidence,attack_probability,evidence_attack,evidence_confidence,evidence_class,risk_score,decision
5,DoS_Slowloris,5,DoS_Slowloris,0.9933333,0.99765706,0.99765706,0.9933333,1.0,0.9969275832176209,BLOCK
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.99966335,0.99991643,0.99991643,0.99966335,1.0,0.999865734577179,BLOCK
3,DoS_Hulk,3,DoS_Hulk,0.9998049,0.9999258,0.9999258,0.9998049,1.0,0.9999067425727844,BLOCK
3,DoS_Hulk,3,DoS_Hulk,0.9997937,0.999943,0.999943,0.9997937,1.0,0.9999142527580261,BLOCK
0,BENIGN,0,BENIGN,0.99925333,0.0007466674,0.0007466674,0.99925333,0.0,0.2502613365650177,ALLOW
3,DoS_Hulk,3,DoS_Hulk,0.9998006,0.9999356,0.9999356,0.9998006,1.0,0.9999115705490113,BLOCK
5,DoS_Slowloris,5,DoS_Slowloris,0.9935486,0.9983122,0.9983122,0.9935486,1.0,0.9973744988441468,BLOCK
0,BENIGN,0,BENIGN,0.9998652,0.0001348257,0.0001348257,0.9998652,0.0,0.2500471770763397,ALLOW
0,BENIGN,0,BENIGN,0.9998292,0.00017082691,0.00017082691,0.9998292,0.0,0.2500597834587097,ALLOW
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.9995196,0.99966365,0.99966365,0.9995196,1.0,0.999678099155426,BLOCK
5,DoS_Slowloris,5,DoS_Slowloris,0.98338646,0.9982253,0.9982253,0.98338646,1.0,0.9947818160057068,BLOCK
2,DoS_GoldenEye,2,DoS_GoldenEye,0.9988286,0.9998068,0.9998068,0.9988286,1.0,0.9995912551879883,BLOCK
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.99968374,0.99993175,0.99993175,0.99968374,1.0,0.9998799800872803,BLOCK
0,BENIGN,0,BENIGN,0.99813396,0.0018660426,0.0018660426,0.99813396,0.0,0.25065311789512634,ALLOW
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.9997596,0.9999311,0.9999311,0.9997596,1.0,0.9998985767364502,BLOCK
3,DoS_Hulk,3,DoS_Hulk,0.9980033,0.9992326,0.9992326,0.9980033,1.0,0.9990403890609741,BLOCK
0,BENIGN,0,BENIGN,0.99535626,0.0046437383,0.0046437383,0.99535626,0.0,0.25162529945373535,ALLOW
3,DoS_Hulk,3,DoS_Hulk,0.99969184,0.9998867,0.9998867,0.99969184,1.0,0.9998549461364746,BLOCK
0,BENIGN,0,BENIGN,0.9998419,0.00015807152,0.00015807152,0.9998419,0.0,0.25005531311035156,ALLOW
0,BENIGN,0,BENIGN,0.9995796,0.00042039156,0.00042039156,0.9995796,0.0,0.25014713406562805,ALLOW
0,BENIGN,0,BENIGN,0.99966455,0.00033545494,0.00033545494,0.99966455,0.0,0.2501174211502075,ALLOW
2,DoS_GoldenEye,2,DoS_GoldenEye,0.9985393,0.99890125,0.99890125,0.9985393,1.0,0.9989756584167481,BLOCK
4,DoS_Slowhttptest,4,DoS_Slowhttptest,0.99052155,0.99201524,0.99201524,0.99052155,1.0,0.9928395986557007,BLOCK
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.99980444,0.99994177,0.99994177,0.99980444,1.0,0.9999162197113037,BLOCK
0,BENIGN,0,BENIGN,0.9992581,0.000741899,0.000741899,0.9992581,0.0,0.250259667634964,ALLOW
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.9997086,0.9998999,0.9998999,0.9997086,1.0,0.9998671650886536,BLOCK
5,DoS_Slowloris,5,DoS_Slowloris,0.9994635,0.99977136,0.99977136,0.9994635,1.0,0.9997287034988404,BLOCK
2,DoS_GoldenEye,2,DoS_GoldenEye,0.9992567,0.9997167,0.9997167,0.9992567,1.0,0.9996441841125489,BLOCK
3,DoS_Hulk,3,DoS_Hulk,0.9997936,0.99993926,0.99993926,0.9997936,1.0,0.9999119877815247,BLOCK
0,BENIGN,0,BENIGN,0.9972785,0.0027214885,0.0027214885,0.9972785,0.0,0.25095251202583313,ALLOW
0,BENIGN,0,BENIGN,0.9987883,0.0012117028,0.0012117028,0.9987883,0.0,0.2504240870475769,ALLOW
0,BENIGN,0,BENIGN,0.99770135,0.0022986531,0.0022986531,0.99770135,0.0,0.2508045434951782,ALLOW
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.99414694,0.99634063,0.99634063,0.99414694,1.0,0.9963411331176758,BLOCK
0,BENIGN,0,BENIGN,0.9997199,0.00028008223,0.00028008223,0.9997199,0.0,0.25009801983833313,ALLOW
0,BENIGN,0,BENIGN,0.9990995,0.000900507,0.000900507,0.9990995,0.0,0.25031518936157227,ALLOW
0,BENIGN,0,BENIGN,0.9980551,0.0019448996,0.0019448996,0.9980551,0.0,0.25068071484565735,ALLOW
5,DoS_Slowloris,5,DoS_Slowloris,0.98338646,0.9982253,0.9982253,0.98338646,1.0,0.9947818160057068,BLOCK
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.9994993,0.9999318,0.9999318,0.9994993,1.0,0.9998339653015137,BLOCK
0,BENIGN,0,BENIGN,0.998594,0.001406014,0.001406014,0.998594,0.0,0.2504920959472656,ALLOW
3,DoS_Hulk,3,DoS_Hulk,0.9997032,0.9998368,0.9998368,0.9997032,1.0,0.9998278856277466,BLOCK
2,DoS_GoldenEye,2,DoS_GoldenEye,0.9993476,0.9998273,0.9998273,0.9993476,1.0,0.9997333526611328,BLOCK
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.99976116,0.9999166,0.9999166,0.99976116,1.0,0.9998902916908264,BLOCK
0,BENIGN,0,BENIGN,0.99967086,0.00032913685,0.00032913685,0.99967086,0.0,0.25011518597602844,ALLOW
3,DoS_Hulk,3,DoS_Hulk,0.9998074,0.999934,0.999934,0.9998074,1.0,0.9999122858047486,BLOCK
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.9998105,0.99994266,0.99994266,0.9998105,1.0,0.9999182462692261,BLOCK
0,BENIGN,0,BENIGN,0.9994235,0.0005764961,0.0005764961,0.9994235,0.0,0.2502017617225647,ALLOW
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.9989587,0.9993589,0.9993589,0.9989587,1.0,0.9993549823760987,BLOCK
0,BENIGN,0,BENIGN,0.99797136,0.002028644,0.002028644,0.99797136,0.0,0.25071001052856445,ALLOW
0,BENIGN,0,BENIGN,0.99970776,0.00029224157,0.00029224157,0.99970776,0.0,0.25010228157043457,ALLOW
0,BENIGN,0,BENIGN,0.9998454,0.00015461445,0.00015461445,0.9998454,0.0,0.25005412101745605,ALLOW
3,DoS_Hulk,3,DoS_Hulk,0.9998005,0.9999296,0.9999296,0.9998005,1.0,0.9999078750610352,BLOCK
0,BENIGN,0,BENIGN,0.99975425,0.00024574995,0.00024574995,0.99975425,0.0,0.2500860095024109,ALLOW
0,BENIGN,0,BENIGN,0.9998592,0.00014078617,0.00014078617,0.9998592,0.0,0.25004926323890686,ALLOW
0,BENIGN,0,BENIGN,0.99801326,0.001986742,0.001986742,0.99801326,0.0,0.2506953477859497,ALLOW
3,DoS_Hulk,3,DoS_Hulk,0.9997836,0.999947,0.999947,0.9997836,1.0,0.9999141335487366,BLOCK
3,DoS_Hulk,3,DoS_Hulk,0.9998023,0.9999186,0.9999186,0.9998023,1.0,0.9999017357826233,BLOCK
0,BENIGN,0,BENIGN,0.9998671,0.00013291836,0.00013291836,0.9998671,0.0,0.2500465214252472,ALLOW
0,BENIGN,0,BENIGN,0.99846196,0.0015380383,0.0015380383,0.99846196,0.0,0.25053831934928894,ALLOW
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.9993911,0.99991786,0.99991786,0.9993911,1.0,0.9997985005378723,BLOCK
0,BENIGN,0,BENIGN,0.99969375,0.00030624866,0.00030624866,0.99969375,0.0,0.25010719895362854,ALLOW
5,DoS_Slowloris,5,DoS_Slowloris,0.99358445,0.9983482,0.9983482,0.99358445,1.0,0.9974050164222718,BLOCK
2,DoS_GoldenEye,2,DoS_GoldenEye,0.99941313,0.99983484,0.99983484,0.99941313,1.0,0.9997542142868042,BLOCK
3,DoS_Hulk,3,DoS_Hulk,0.9997974,0.99992776,0.99992776,0.9997974,1.0,0.9999060273170471,BLOCK
0,BENIGN,0,BENIGN,0.9995859,0.00041407347,0.00041407347,0.9995859,0.0,0.25014492869377136,ALLOW
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.99976414,0.99992436,0.99992436,0.99976414,1.0,0.999895715713501,BLOCK
3,DoS_Hulk,3,DoS_Hulk,0.9997873,0.99992234,0.99992234,0.9997873,1.0,0.9999002456665039,BLOCK
3,DoS_Hulk,3,DoS_Hulk,0.99979323,0.9999356,0.9999356,0.99979323,1.0,0.9999097228050232,BLOCK
0,BENIGN,0,BENIGN,0.9996556,0.00034439564,0.00034439564,0.9996556,0.0,0.2501205503940582,ALLOW
3,DoS_Hulk,3,DoS_Hulk,0.9998161,0.99993724,0.99993724,0.9998161,1.0,0.9999163985252381,BLOCK
5,DoS_Slowloris,5,DoS_Slowloris,0.9983442,0.9994246,0.9994246,0.9983442,1.0,0.9992408394813538,BLOCK
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.99916995,0.99941325,0.99941325,0.99916995,1.0,0.9994404554367066,BLOCK
0,BENIGN,0,BENIGN,0.9986369,0.0013630986,0.0013630986,0.9986369,0.0,0.2504770755767822,ALLOW
0,BENIGN,0,BENIGN,0.99861217,0.0013878345,0.0013878345,0.99861217,0.0,0.25048574805259705,ALLOW
0,BENIGN,0,BENIGN,0.99943155,0.0005684495,0.0005684495,0.99943155,0.0,0.25019896030426025,ALLOW
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.99981993,0.99995494,0.99995494,0.99981993,1.0,0.9999279618263245,BLOCK
3,DoS_Hulk,3,DoS_Hulk,0.9997743,0.9999037,0.9999037,0.9997743,1.0,0.9998857617378235,BLOCK
3,DoS_Hulk,3,DoS_Hulk,0.9998049,0.9999258,0.9999258,0.9998049,1.0,0.9999067425727844,BLOCK
0,BENIGN,0,BENIGN,0.99797136,0.002028644,0.002028644,0.99797136,0.0,0.25071001052856445,ALLOW
3,DoS_Hulk,3,DoS_Hulk,0.98797345,0.98997843,0.98997843,0.98797345,1.0,0.9909804701805115,BLOCK
0,BENIGN,0,BENIGN,0.999671,0.00032901764,0.00032901764,0.999671,0.0,0.25011515617370605,ALLOW
2,DoS_GoldenEye,2,DoS_GoldenEye,0.9994885,0.99980474,0.99980474,0.9994885,1.0,0.9997549295425415,BLOCK
2,DoS_GoldenEye,2,DoS_GoldenEye,0.99935645,0.9998149,0.9998149,0.99935645,1.0,0.9997281074523926,BLOCK
0,BENIGN,0,BENIGN,0.9996153,0.00038468838,0.00038468838,0.9996153,0.0,0.2501346468925476,ALLOW
5,DoS_Slowloris,5,DoS_Slowloris,0.98338646,0.9982253,0.9982253,0.98338646,1.0,0.9947818160057068,BLOCK
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.99968493,0.99993175,0.99993175,0.99968493,1.0,0.999880337715149,BLOCK
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.9995228,0.9999318,0.9999318,0.9995228,1.0,0.9998398065567017,BLOCK
0,BENIGN,0,BENIGN,0.99976987,0.00023013353,0.00023013353,0.99976987,0.0,0.25008055567741394,ALLOW
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.9997501,0.99991286,0.99991286,0.9997501,1.0,0.9998852849006653,BLOCK
2,DoS_GoldenEye,2,DoS_GoldenEye,0.9063403,0.9106879,0.9106879,0.9063403,1.0,0.9229978561401367,BLOCK
0,BENIGN,0,BENIGN,0.999711,0.00028902292,0.00028902292,0.999711,0.0,0.25010114908218384,ALLOW
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.9982389,0.998599,0.998599,0.9982389,1.0,0.9987191200256348,BLOCK
3,DoS_Hulk,3,DoS_Hulk,0.9853313,0.98628426,0.98628426,0.9853313,1.0,0.9881034135818482,BLOCK
0,BENIGN,0,BENIGN,0.9995009,0.0004991293,0.0004991293,0.9995009,0.0,0.25017470121383667,ALLOW
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.99892163,0.9993089,0.9993089,0.99892163,1.0,0.9993157625198364,BLOCK
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.99969864,0.99987155,0.99987155,0.99969864,1.0,0.9998476147651673,BLOCK
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.99958557,0.99971557,0.99971557,0.99958557,1.0,0.9997257828712464,BLOCK
4,DoS_Slowhttptest,4,DoS_Slowhttptest,0.9932296,0.9959151,0.9959151,0.9932296,1.0,0.9958564877510071,BLOCK
4,DoS_Slowhttptest,4,DoS_Slowhttptest,0.9853957,0.9870656,0.9870656,0.9853957,1.0,0.988588297367096,BLOCK
0,BENIGN,0,BENIGN,0.99951935,0.00048065186,0.00048065186,0.99951935,0.0,0.25016823410987854,ALLOW
3,DoS_Hulk,3,DoS_Hulk,0.98951775,0.9985466,0.9985466,0.98951775,1.0,0.9965074300765991,BLOCK
3,DoS_Hulk,3,DoS_Hulk,0.99948645,0.999864,0.999864,0.99948645,1.0,0.9997900366783142,BLOCK
0,BENIGN,0,BENIGN,0.99964345,0.00035655499,0.00035655499,0.99964345,0.0,0.2501247823238373,ALLOW
5,DoS_Slowloris,5,DoS_Slowloris,0.99941885,0.9997523,0.9997523,0.99941885,1.0,0.9997060537338257,BLOCK
0,BENIGN,0,BENIGN,0.999894,0.00010597706,0.00010597706,0.999894,0.0,0.2500371038913727,ALLOW
3,DoS_Hulk,3,DoS_Hulk,0.99914205,0.99976975,0.99976975,0.99914205,1.0,0.9996474027633667,BLOCK
0,BENIGN,0,BENIGN,0.9997832,0.0002167821,0.0002167821,0.9997832,0.0,0.2500758767127991,ALLOW
0,BENIGN,0,BENIGN,0.996684,0.0033159852,0.0033159852,0.996684,0.0,0.251160591840744,ALLOW
0,BENIGN,0,BENIGN,0.9998517,0.00014829636,0.00014829636,0.9998517,0.0,0.25005191564559937,ALLOW
3,DoS_Hulk,3,DoS_Hulk,0.9998178,0.9999356,0.9999356,0.9998178,1.0,0.9999158620834351,BLOCK
3,DoS_Hulk,3,DoS_Hulk,0.99981254,0.99993044,0.99993044,0.99981254,1.0,0.9999114513397217,BLOCK
0,BENIGN,0,BENIGN,0.99966073,0.00033926964,0.00033926964,0.99966073,0.0,0.2501187324523926,ALLOW
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.9997849,0.9999202,0.9999202,0.9997849,1.0,0.9998983979225159,BLOCK
0,BENIGN,0,BENIGN,0.99972016,0.0002798438,0.0002798438,0.99972016,0.0,0.25009793043136597,ALLOW
0,BENIGN,0,BENIGN,0.9998424,0.00015759468,0.00015759468,0.9998424,0.0,0.2500551640987396,ALLOW
0,BENIGN,0,BENIGN,0.9996587,0.0003412962,0.0003412962,0.9996587,0.0,0.2501194477081299,ALLOW
4,DoS_Slowhttptest,4,DoS_Slowhttptest,0.9985123,0.99919736,0.99919736,0.9985123,1.0,0.9991464853286743,BLOCK
0,BENIGN,0,BENIGN,0.9998636,0.00013637543,0.00013637543,0.9998636,0.0,0.2500477433204651,ALLOW
3,DoS_Hulk,3,DoS_Hulk,0.999818,0.9999439,0.9999439,0.999818,1.0,0.9999208688735962,BLOCK
0,BENIGN,0,BENIGN,0.99846196,0.0015380383,0.0015380383,0.99846196,0.0,0.25053831934928894,ALLOW
0,BENIGN,0,BENIGN,0.99879164,0.001208365,0.001208365,0.99879164,0.0,0.2504229247570038,ALLOW
3,DoS_Hulk,3,DoS_Hulk,0.99979,0.99994653,0.99994653,0.99979,1.0,0.9999154448509217,BLOCK
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.99955565,0.9997303,0.9997303,0.99955565,1.0,0.9997270941734314,BLOCK
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.9997825,0.9999401,0.9999401,0.9997825,1.0,0.9999097228050232,BLOCK
0,BENIGN,0,BENIGN,0.9991779,0.00082212687,0.00082212687,0.9991779,0.0,0.2502877414226532,ALLOW
0,BENIGN,0,BENIGN,0.9982029,0.00179708,0.00179708,0.9982029,0.0,0.2506289780139923,ALLOW
0,BENIGN,0,BENIGN,0.9991949,0.00080507994,0.00080507994,0.9991949,0.0,0.25028178095817566,ALLOW
0,BENIGN,0,BENIGN,0.9979832,0.0020167828,0.0020167828,0.9979832,0.0,0.25070586800575256,ALLOW
0,BENIGN,0,BENIGN,0.9997887,0.00021129847,0.00021129847,0.9997887,0.0,0.25007396936416626,ALLOW
0,BENIGN,0,BENIGN,0.9986369,0.0013630986,0.0013630986,0.9986369,0.0,0.2504770755767822,ALLOW
0,BENIGN,0,BENIGN,0.9900546,0.009945393,0.009945393,0.9900546,0.0,0.2534808814525604,ALLOW
4,DoS_Slowhttptest,4,DoS_Slowhttptest,0.99657875,0.9976407,0.9976407,0.99657875,1.0,0.9977291464805603,BLOCK
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.9996613,0.9999143,0.9999143,0.9996613,1.0,0.9998638868331909,BLOCK
2,DoS_GoldenEye,2,DoS_GoldenEye,0.98226464,0.9909217,0.9909217,0.98226464,1.0,0.9901192426681519,BLOCK
0,BENIGN,0,BENIGN,0.9996159,0.00038409233,0.00038409233,0.9996159,0.0,0.2501344382762909,ALLOW
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.9994388,0.99971515,0.99971515,0.9994388,1.0,0.9996888279914856,BLOCK
2,DoS_GoldenEye,2,DoS_GoldenEye,0.9891425,0.9908164,0.9908164,0.9891425,1.0,0.9917754769325257,BLOCK
0,BENIGN,0,BENIGN,0.8568615,0.14313853,0.14313853,0.8568615,0.0,0.3000984787940979,ALLOW
5,DoS_Slowloris,5,DoS_Slowloris,0.99011594,0.99815935,0.99815935,0.99011594,1.0,0.9964245796203614,BLOCK
0,BENIGN,0,BENIGN,0.99322414,0.006775856,0.006775856,0.99322414,0.0,0.25237154960632324,ALLOW
3,DoS_Hulk,3,DoS_Hulk,0.999816,0.99993294,0.99993294,0.999816,1.0,0.9999137759208679,BLOCK
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.9997993,0.9999313,0.9999313,0.9997993,1.0,0.9999085903167725,BLOCK
0,BENIGN,0,BENIGN,0.9993044,0.0006955862,0.0006955862,0.9993044,0.0,0.2502434551715851,ALLOW
0,BENIGN,0,BENIGN,0.99965847,0.00034153461,0.00034153461,0.99965847,0.0,0.25011953711509705,ALLOW
3,DoS_Hulk,3,DoS_Hulk,0.99982053,0.9999416,0.9999416,0.99982053,1.0,0.9999200940132141,BLOCK
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.9996251,0.9997466,0.9997466,0.9996251,1.0,0.9997542142868042,BLOCK
3,DoS_Hulk,3,DoS_Hulk,0.99980074,0.9999356,0.9999356,0.99980074,1.0,0.9999115705490113,BLOCK
0,BENIGN,0,BENIGN,0.9991499,0.00085008144,0.00085008144,0.9991499,0.0,0.25029751658439636,ALLOW
4,DoS_Slowhttptest,4,DoS_Slowhttptest,0.9925087,0.9939407,0.9939407,0.9925087,1.0,0.9944916009902954,BLOCK
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.99983704,0.99994737,0.99994737,0.99983704,1.0,0.9999276638031006,BLOCK
0,BENIGN,0,BENIGN,0.99980587,0.00019413233,0.00019413233,0.99980587,0.0,0.25006794929504395,ALLOW
3,DoS_Hulk,3,DoS_Hulk,0.99981195,0.99993294,0.99993294,0.99981195,1.0,0.9999127626419068,BLOCK
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.99948186,0.9996363,0.9996363,0.99948186,1.0,0.9996522903442383,BLOCK
2,DoS_GoldenEye,2,DoS_GoldenEye,0.6699922,0.68886477,0.68886477,0.6699922,1.0,0.730816924571991,BLOCK
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.99933076,0.99956715,0.99956715,0.99933076,1.0,0.999573016166687,BLOCK
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.99928135,0.9995026,0.9995026,0.99928135,1.0,0.9995219349861145,BLOCK
2,DoS_GoldenEye,2,DoS_GoldenEye,0.99954575,0.99986094,0.99986094,0.99954575,1.0,0.9998030304908753,BLOCK
0,BENIGN,0,BENIGN,0.99967,0.0003299713,0.0003299713,0.99967,0.0,0.2501154839992523,ALLOW
3,DoS_Hulk,3,DoS_Hulk,0.9995789,0.99983734,0.99983734,0.9995789,1.0,0.9997971892356873,BLOCK
3,DoS_Hulk,3,DoS_Hulk,0.99968743,0.9998835,0.9998835,0.99968743,1.0,0.9998519659042359,BLOCK
2,DoS_GoldenEye,2,DoS_GoldenEye,0.99948716,0.9998845,0.9998845,0.99948716,1.0,0.9998024940490723,BLOCK
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.99966085,0.99993175,0.99993175,0.99966085,1.0,0.9998742580413819,BLOCK
2,DoS_GoldenEye,2,DoS_GoldenEye,0.9988102,0.99956423,0.99956423,0.9988102,1.0,0.9994410514831543,BLOCK
3,DoS_Hulk,3,DoS_Hulk,0.9998123,0.99993044,0.99993044,0.9998123,1.0,0.9999113917350769,BLOCK
0,BENIGN,0,BENIGN,0.9997656,0.00023442507,0.00023442507,0.9997656,0.0,0.2500820457935333,ALLOW
0,BENIGN,0,BENIGN,0.99986684,0.00013315678,0.00013315678,0.99986684,0.0,0.25004661083221436,ALLOW
3,DoS_Hulk,3,DoS_Hulk,0.99980015,0.9999211,0.9999211,0.99980015,1.0,0.9999027490615845,BLOCK
4,DoS_Slowhttptest,5,DoS_Slowloris,0.9955792,0.9978761,0.9978761,0.9955792,1.0,0.9976204872131348,BLOCK
0,BENIGN,0,BENIGN,0.9998343,0.00016570091,0.00016570091,0.9998343,0.0,0.25005799531936646,ALLOW
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.99960226,0.99991846,0.99991846,0.99960226,1.0,0.999851667881012,BLOCK
0,BENIGN,0,BENIGN,0.99723214,0.002767861,0.002767861,0.99723214,0.0,0.2509687542915344,ALLOW
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.9998074,0.9999428,0.9999428,0.9998074,1.0,0.9999175310134888,BLOCK
2,DoS_GoldenEye,2,DoS_GoldenEye,0.99947375,0.9998845,0.9998845,0.99947375,1.0,0.9997991561889649,BLOCK
3,DoS_Hulk,3,DoS_Hulk,0.99979705,0.99992156,0.99992156,0.99979705,1.0,0.9999022126197815,BLOCK
0,BENIGN,0,BENIGN,0.9996954,0.00030457973,0.00030457973,0.9996954,0.0,0.2501066029071808,ALLOW
0,BENIGN,0,BENIGN,0.99876827,0.00123173,0.00123173,0.99876827,0.0,0.2504311203956604,ALLOW
1,DDoS_LOIC_HTTP,1,DDoS_LOIC_HTTP,0.99966145,0.9999197,0.9999197,0.99966145,1.0,0.9998672246932984,BLOCK
0,BENIGN,0,BENIGN,0.99921775,0.00078225136,0.00078225136,0.99921775,0.0,0.25027379393577576,ALLOW
0,BENIGN,0,BENIGN,0.9996531,0.00034689903,0.00034689903,0.9996531,0.0,0.25012141466140747,ALLOW
3,DoS_Hulk,3,DoS_Hulk,0.9998,0.9999211,0.9999211,0.9998,1.0,0.9999026894569397,BLOCK
